0_Spectrogram mean coefficient_1422.58Hz,0_Median frequency,0_LPCC_2,0_LPCC_10,0_Wavelet variance_1837.5Hz,0_Wavelet standard deviation_1837.5Hz,0_Wavelet energy_1837.5Hz,0_Spectrogram mean coefficient_2489.52Hz,0_Wavelet entropy,0_Sum absolute diff,0_Mean absolute diff,0_Kurtosis,0_Entropy,0_Wavelet standard deviation_1378.12Hz,0_Wavelet energy_1378.12Hz,0_Mean absolute deviation,0_Wavelet variance_1378.12Hz,0_Autocorrelation,0_LPCC_5,0_LPCC_7,0_Neighbourhood peaks,0_Wavelet variance_2756.25Hz,0_Wavelet energy_2756.25Hz,0_Wavelet standard deviation_2756.25Hz,0_Wavelet variance_1102.5Hz,0_Wavelet energy_1102.5Hz,0_Wavelet standard deviation_1102.5Hz,0_Area under the curve,0_Spectrogram mean coefficient_1778.23Hz,0_Root mean square,0_Average power,0_Absolute energy,0_Spectrogram mean coefficient_2133.87Hz,0_Spectral decrease,0_Fundamental frequency,0_Spectral distance,0_Spectrogram mean coefficient_355.65Hz,0_Variance,0_Standard deviation,0_Spectrogram mean coefficient_0.0Hz,0_Power bandwidth,0_ECDF Percentile_0,0_Negative turning points,0_Spectral roll-on,0_Interquartile range,0_LPCC_1,0_LPCC_11,0_Spectrogram mean coefficient_10313.71Hz,0_Signal distance,0_Spectrogram mean coefficient_11025.0Hz,0_Spectrogram mean coefficient_711.29Hz,0_Wavelet variance_918.75Hz,0_Wavelet standard deviation_918.75Hz,0_Wavelet energy_918.75Hz,0_Spectrogram mean coefficient_9958.06Hz,0_MFCC_11,0_Positive turning points,0_Centroid,0_Max power spectrum,0_Mean,0_Wavelet absolute mean_5512.5Hz,0_Spectrogram mean coefficient_8535.48Hz,0_ECDF Percentile_1,0_Skewness,0_Spectrogram mean coefficient_4623.39Hz,0_Wavelet absolute mean_1837.5Hz,0_Maximum frequency,0_Spectrogram mean coefficient_6757.26Hz,0_Spectral roll-off,0_Spectrogram mean coefficient_8179.84Hz,0_MFCC_4,0_Min,0_Histogram mode,0_Spectrogram mean coefficient_7112.9Hz,0_Spectrogram mean coefficient_9602.42Hz,0_Wavelet standard deviation_5512.5Hz,0_Wavelet energy_5512.5Hz,0_Spectral variation,0_Spectrogram mean coefficient_8891.13Hz,0_Wavelet absolute mean_1378.12Hz,0_Wavelet variance_5512.5Hz,0_LPCC_4,0_LPCC_8,0_Spectrogram mean coefficient_4267.74Hz,0_Spectrogram mean coefficient_10669.35Hz,0_Spectrogram mean coefficient_4979.03Hz,0_Spectrogram mean coefficient_5690.32Hz,0_Zero crossing rate,0_LPCC_6,0_Spectrogram mean coefficient_9246.77Hz,0_Spectral kurtosis,0_Median,0_Spectral centroid,0_Spectral slope,0_LPCC_3,0_LPCC_9,0_Spectrogram mean coefficient_2845.16Hz,0_MFCC_5,0_Spectrogram mean coefficient_1066.94Hz,0_Wavelet absolute mean_1102.5Hz,0_Spectral entropy,0_ECDF Percentile Count_1,0_Median absolute deviation,0_Wavelet absolute mean_689.06Hz,0_Spectrogram mean coefficient_6045.97Hz,0_Spectral spread,0_Mean diff,0_Peak to peak distance,0_Wavelet variance_612.5Hz,0_Wavelet standard deviation_612.5Hz,0_Wavelet energy_612.5Hz,0_Spectrogram mean coefficient_5334.68Hz,0_MFCC_10,0_Spectral positive turning points,label_perintah
8.151176923774502e-06,772.0,0.940778656057225,0.940778656057225,0.0320432445239455,0.1790062695101643,0.1790062695152361,1.7486362404935021e-07,2.000431814629072,593.6068115234375,0.0179478385294623,5.252488647046754,0.5328970126593751,0.2436974841428717,0.2436974841530179,0.1064720664370009,0.0593884637775652,14.0,0.409681244806259,0.4096812448062589,823.0,0.0086998497590175,0.0932729851536534,0.0932729851512082,0.0820390493079788,0.2864245962177845,0.2864245961993816,0.159008332336841,8.533452499895159e-07,0.2014569579455877,894.92423262042,1342.345762797631,3.877718014781354e-07,-0.0059713549338379,140.66666666666666,-899023157.4450396,6.245831372559877e-05,0.0405731508039148,0.2014277806160681,1.2129771647595872e-06,676.6666666666666,-0.043212890625,6536.0,148.66666666666666,0.041748046875,1.5813727393346313,1.5813727393346313,3.811985615168922e-09,33093.947053994576,8.169091646748866e-10,1.0587642755161272e-05,0.1094675516334642,0.3308588092124256,0.330858809241087,8.035755361149872e-09,7.101757361301569,6594.0,0.8563284818671946,0.0923002132094621,-0.0034285712440358,2.0001633776144645e-07,6.640719136508953e-09,0.033111572265625,-0.0802741905983071,3.7513413660758937e-08,1.347504098011196e-06,7418.666666666666,6.6582084799400995e-09,7418.666666666666,8.637844545964912e-09,-31.0566445544783,-0.999969482421875,0.0524459838867188,1.5658410891458858e-08,1.0865207615219112e-08,0.0254985095363043,0.0254985095370888,0.051933426301016,7.209852211854105e-09,2.223783148099403e-06,0.000650173988573,0.0474252292338745,0.0474252292338745,1.8763089857155407e-08,2.022654092952047e-09,9.078215943147901e-09,4.680410649690836e-09,3871.0,0.5313164395102254,7.941597805583186e-09,8.29490241035333,-0.00286865234375,1563.232463594925,-2.3572900864911758e-08,0.6639387346426282,0.6639387346426282,8.724301142217048e-08,18.96468327183558,4.496596662940704e-06,3.2468562956464854e-06,0.5694169481291812,26460.0,0.020172119140625,6.8883390786164895e-06,7.936553745979824e-09,2198.7298745729445,8.267445727761988e-07,1.913482666015625,0.2782091122319008,0.5274553177586713,0.5274553178241834,3.314022116841025e-09,0.8623490725143841,4471.0,buka
3.183034852106931e-06,656.6666666666666,0.7996344675838817,0.7996344675838817,0.0174800593760951,0.132212175597012,0.1322121768575969,1.2433687084264014e-07,1.995522513237096,422.728759765625,0.0127813013172166,7.426342954294821,0.4963007412440546,0.19057985298412,0.1905798549454384,0.0816845459881109,0.0363206803634488,15.0,0.4847194327240707,0.4847194327240707,725.0,0.0043685172525653,0.0660947604254951,0.0660947596452649,0.053481130392353,0.231259879300074,0.231259876313106,0.1222554081854096,4.033998610555035e-07,0.1621259099559886,579.5975992101518,869.3701132098213,1.8088821704176586e-07,-0.0084058044531627,138.0,-774167928.8760228,3.775762234353023e-05,0.0262696983938351,0.1620792966230886,6.58010696777613e-07,750.0,-0.0240478515625,5968.0,146.0,0.03369140625,1.6044980261983786,1.6044980261983786,2.018697354924461e-09,33085.815288731974,3.4278780291352464e-10,6.0227133046575575e-06,0.0694768821677067,0.2635846774145013,0.263584681671125,3.14023797212849e-09,-37.258313130513216,5935.0,1.1215130744905373,0.0349141914180999,-0.0038874522790887,3.420182011614365e-06,1.028827705691974e-08,0.02728271484375,-0.3973670932100799,4.675602535332106e-08,1.825730998925424e-05,7237.333333333333,6.4056509595054906e-09,7237.333333333333,3.7699811753745004e-09,-26.39553207430384,-0.9822998046875,-0.0902786254882812,9.466250907373236e-09,2.810595943636572e-09,0.0198552993543425,0.0198552996489148,0.0289413151830412,6.257438622025956e-09,2.7341828187004014e-05,0.0003942329124505,0.0920318771491158,0.0920318771491158,3.077598453429967e-08,1.4941915089823783e-09,8.600949021465094e-09,2.2350068808041232e-09,3241.0,0.5974027103750303,3.3628810773186917e-09,8.197833208844429,-0.003204345703125,1509.1877927035516,-2.3895503328414663e-08,0.6706207652104255,0.6706207652104255,5.8826243788768385e-08,27.764167546488256,4.89009172071075e-06,3.716896193554127e-05,0.5952454323797522,26460.0,0.01605224609375,6.772949858913917e-05,5.628013473798655e-09,2151.677134550148,4.512032322405817e-06,1.982269287109375,0.1573569085693128,0.3966823774373054,0.3966823850006488,2.6009802627382393e-09,18.39450363499615,4377.0,buka
2.691631716103977e-06,611.3333333333333,0.7813538800778531,0.7813538800778531,0.0154686484954775,0.1243730215741242,0.1243730222200637,1.0931154518800133e-07,1.9527409801982056,462.7726745605469,0.0139920382947495,5.823692090292667,0.5358555328956767,0.1906905782367707,0.1906905793006384,0.0973244258364583,0.0363628966282739,13.0,0.374538645982091,0.3745386459820908,768.0,0.0036049054777067,0.0600408653899732,0.0600408650646107,0.0641505529877714,0.2532795960210858,0.2532795944954338,0.1455488230041365,5.59283262277303e-07,0.1902868728584064,798.434662434049,1197.615783462301,2.186450283039334e-07,-0.0048031076856239,142.0,-810071286.6770904,6.488781049633922e-05,0.0362026162108153,0.1902698510295715,1.132774270340643e-06,214.66666666666663,-0.0224609375,6140.0,150.0,0.030303955078125,1.537393892543416,1.5373938925434163,1.346291759688121e-09,33085.96013967962,6.04025157968578e-10,7.89740987962048e-06,0.1004923719298837,0.3170053184567788,0.3170053203860197,2.968917515264861e-09,11.016854489892683,6078.0,1.0342891164579742,0.0866137751592568,-0.0025451466393849,1.8208041655031303e-06,3.5273657768250354e-09,0.046051025390625,-0.714835712078025,4.017486878480774e-08,1.2675760400465877e-05,7057.333333333333,3.873599770806612e-09,7057.333333333333,2.934952990379316e-09,17.14021521128759,-0.999969482421875,-0.0149444580078124,1.3100418527593108e-08,5.454565523094193e-09,0.017712137051105,0.0177121371446941,0.0298136868954966,3.2693923071553873e-09,2.0142965938931188e-05,0.0003137197989171,0.1501949143634544,0.1501949143634544,1.7633129946079158e-08,2.019732301819944e-09,1.7525705997421294e-08,2.68958823259093e-09,3343.0,0.5869091031060482,3.204811264008054e-09,9.182738143021242,-0.002227783203125,1420.980536943282,-2.4422028470260573e-08,0.8086783564612366,0.8086783564612366,5.4072850662149725e-08,-46.01485716297756,4.654929828332016e-06,2.779987431326856e-05,0.5493862991563607,26460.0,0.014617919921875,4.7510672238841725e-05,8.51929894597007e-09,2090.30416825486,-2.139755205656256e-06,1.79095458984375,0.2984470735271955,0.5463030967578305,0.5463030993460875,2.723250398744454e-09,-26.78059325859009,4458.0,buka
9.88542721976044e-06,859.3333333333333,0.9901317912022212,0.9901317912022212,0.0387764935142974,0.1969174789456168,0.1969174789909468,1.7691677374563918e-07,2.035579009861321,600.1065673828125,0.0181443601434,6.514669052735064,0.540943506126386,0.2659728858737066,0.2659728859680422,0.0961184759080583,0.0707415760199877,11.0,0.3171984144685099,0.3171984144685099,835.0,0.0101678539283601,0.1008357770466994,0.1008357770256181,0.0892176041892367,0.2986931607921143,0.2986931606000323,0.1434514024522565,6.614993926597403e-07,0.1889575845131897,787.318364860752,1180.941841242835,2.6194977570737216e-07,-0.0039067675177068,146.0,-904153875.2121304,5.711635774720443e-05,0.0356990981615817,0.1889420497443112,9.816943590700897e-07,611.3333333333333,-0.032745361328125,5784.0,158.0,0.029571533203125,1.4686709059044034,1.4686709059044034,8.582304006965286e-09,33095.60536427851,1.124112681374007e-09,7.992010466149019e-06,0.1047956627305281,0.3237215821203896,0.3237215824748262,4.522860781795499e-09,29.37888062251724,5848.0,1.0038344300823137,0.0569258037415603,-0.002422928698389,5.734033392740178e-07,1.0404105201085718e-08,0.032745361328125,-0.2367204526924261,1.1181104942447631e-08,4.225229296518786e-06,7310.666666666666,1.7334759500570083e-08,7310.666666666666,1.570224302289695e-08,74.69264200945044,-0.999969482421875,0.0726715087890625,3.758582510048612e-08,5.706531266211007e-09,0.0259084153168899,0.0259084153232351,0.0340578000706349,6.3831376514205404e-09,7.083883091395567e-06,0.0006712459842324,0.0966896966319568,0.0966896966319568,1.8027855175202543e-08,2.8191561221850213e-09,3.6882534146167717e-09,4.631113207273699e-09,3302.0,0.9216027147759784,4.525969240185533e-09,8.772346491014936,-0.002105712890625,1562.7152906648148,-2.3575987964130946e-08,0.5375049182771312,0.5375049182771312,7.691366075683764e-08,35.95983001652787,5.994125542182684e-06,1.07120089872642e-05,0.5973937226774815,26460.0,0.0147705078125,2.6110668028719506e-05,6.4171656947342025e-09,2160.274724682534,-1.2733342750347705e-07,1.95025634765625,0.250936444242482,0.5009355689532159,0.5009355699858837,1.5278427322799235e-09,-68.25369749109959,4270.0,buka
4.290176898757932e-06,672.6666666666666,0.9970257612242868,0.9970257612242868,0.0185037909660226,0.1360286402417616,0.1360286402462145,8.794833643852706e-08,1.974344271731011,402.7660827636719,0.0121777251848482,8.694787507628094,0.5153635060573949,0.1940008327642698,0.1940008327689014,0.0787704910187264,0.0376363231132302,13.0,0.4021567381497509,0.4021567381497509,792.0,0.0046567252130526,0.0682402023279907,0.0682402023227707,0.0575883473630347,0.2399757224522401,0.2399757224450731,0.1178132923498178,5.708561689522225e-07,0.1727724643590349,658.2195547352841,987.299480875954,1.9678225300700683e-07,-0.0054807311704869,150.0,-701245679.7540393,5.519303747753761e-05,0.0298444134131644,0.1727553571185695,9.515945449266756e-07,275.33333333333337,-0.019805908203125,5622.0,154.66666666666666,0.022918701171875,1.4522111541947225,1.4522111541947225,1.8314098096956254e-09,33085.67457313738,2.6171579189457506e-10,5.647865638078497e-06,0.0836006579919279,0.2891377837501145,0.2891377837631187,2.397711821332027e-09,-141.76806549434252,5637.0,0.9767860000677588,0.1026910559581709,-0.0024312604816232,3.653463183419361e-07,2.550298841174994e-09,0.01666259765625,-0.5344516109246783,1.1427184080211512e-08,1.100656192134338e-06,7204.666666666666,4.444713534747486e-09,7204.666666666666,1.92188904752555e-09,29.415974746787978,-0.999969482421875,-0.0210205078125,1.4841654555975731e-08,2.421796206290569e-09,0.0173050199726813,0.0173050199765379,0.0344139528136405,7.2261326390924504e-09,1.340542983334334e-06,0.0002994637162548,0.0887810364820655,0.0887810364820655,1.2694084793646532e-08,1.7022859506434535e-09,4.288702668224909e-09,2.4808445125862277e-09,3454.0,0.4726365205747346,5.486060261818097e-09,9.283400975225783,-0.0020751953125,1446.175137875934,-2.4271637318019424e-08,0.7551684101344828,0.7551684101344828,4.9768308945131524e-08,57.88009351681529,3.702524830523871e-06,1.8546799637716992e-06,0.5323670206482334,26460.0,0.011474609375,5.427225973214431e-06,3.119211305904638e-09,2123.2658774868573,-6.302081955425712e-07,1.7799072265625,0.2536329444100452,0.5036198411600215,0.5036198412102845,1.2286906724148207e-09,-115.38461311722808,4592.0,buka
